MX records
Priority,Host name,Points to address or value,TTL
0,@,probryx-org.mail.protection.outlook.com,3600

CNAME records
Host name,Points to address or value,TTL
autodiscover,autodiscover.outlook.com,3600
enterpriseregistration,enterpriseregistration.windows.net,3600
enterpriseenrollment,enterpriseenrollment-s.manage.microsoft.com,3600
selector1._domainkey,selector1-probryx-org._domainkey.Probryx.w-v1.dkim.mail.microsoft,3600
selector2._domainkey,selector2-probryx-org._domainkey.Probryx.w-v1.dkim.mail.microsoft,3600

TXT records
TXT name,TXT value,TTL
@,v=spf1 include:spf.protection.outlook.com -all,3600
